student_key,student_id,student_name,date_of_birth,grade,contact_number,student_rank
131,S00131,gregory schroeder,2013-04-05,Grade 3,n/a,1
434,S00434,leslie moody,2012-12-15,Grade 4,+17243074403,1
713,S00713,cameron lee,2017-10-02,Grade 1,+18388958722,1
1196,S01196,margaret robinson,2012-09-11,Grade 3,+15629075501,1
1339,S01339,holly hunt,2015-01-29,Grade 1,+15393384374,1
1648,S01648,daniel howard,2016-02-16,Grade 5,+17229404014,1
2424,S02424,jennifer melendez,2018-07-02,Grade 2,+17717901335,1
2982,S02982,victoria hahn,2015-10-17,Grade 5,+19092223441,1
3312,S03312,devin cameron,2008-03-27,Grade 5,+12718751940,1
3357,S03357,darin lewis,2006-11-19,Grade 5,+18585242246,1
3576,S03576,belinda ruiz,2014-08-21,Grade 3,+15346190279,1
3677,S03677,michael guerrero,2012-01-31,Grade 3,+13972888525,1
3724,S03724,vincent peterson,2008-09-29,Grade 1,+13958498486,1
4120,S04120,kevin edwards,2011-02-14,Grade 1,+15716197251,1
4192,S04192,kristen potter,2017-09-03,Grade 1,+12892398998,1
4289,S04289,tiffany anderson,2015-10-13,Grade 5,+15307230691,1
4310,S04310,dennis lawrence,2007-02-21,Grade 1,+12149432968,1
4312,S04312,erica mitchell,2019-01-11,Grade 4,+13942847105,1
4621,S04621,sean russo,2016-12-29,Grade 2,+17186351180,1
4739,S04739,michelle wright,2015-08-21,Grade 1,+14389936966,1
4795,S04795,troy valenzuela,2018-05-23,Grade 1,+18133187679,1
5389,S05389,kathryn miller,2016-05-27,Grade 5,+18402493068,1
6788,S06788,clarence daniels,2015-12-28,Grade 5,+12243007889,1
6988,S06988,andrew evans,2008-01-01,Grade 2,+12079272328,1
7172,S07172,ryan caldwell,2018-06-25,Grade 4,+13333454573,1
7672,S07672,brian yang,2011-09-04,Grade 3,+16234942753,1
7773,S07773,angela gilbert,2015-05-01,Grade 2,+12108610442,1
8226,S08226,chris carter,2016-05-08,Grade 4,+17555835942,1
8418,S08418,cheryl barnes,2014-07-03,Grade 3,+12589250157,1
8468,S08468,karen reyes,2012-06-14,Grade 5,+12924642417,1
8627,S08627,charles kelly,2015-11-15,Grade 5,+12932002408,1
8946,S08946,alicia hoover,2018-06-11,Grade 2,+16835917669,1
9138,S09138,dawn calderon,2014-03-19,Grade 2,+16229236359,1
9178,S09178,elijah moran,2016-12-22,Grade 2,n/a,1
9284,S09284,stacey mcdonald,2007-05-18,Grade 2,n/a,1
9864,S09864,ronald hopkins,2016-07-13,Grade 3,+14306830588,1
10154,S10154,katherine burton,2006-07-05,Grade 3,+17033943036,1
11205,S11205,james delgado,2016-02-08,Grade 4,+18417292732,1
11435,S11435,autumn davis,2009-10-15,Grade 3,+18133815633,1
11544,S11544,jason fitzpatrick,2014-04-02,Grade 4,+14708041028,1
11749,S11749,laura mitchell,2014-08-07,Grade 3,+16475920258,1
11918,S11918,sheila beard,2014-05-01,Grade 1,+18836095392,1
12029,S12029,amanda perez,2013-02-10,Grade 4,+14485384382,1
12060,S12060,duane sullivan,2007-02-03,Grade 5,+19366121404,1
5321,S05321,yolanda shea,2015-01-11,Grade 2,+18552925627,2
6477,S06477,teresa garcia,2012-12-14,Grade 3,+12884715375,2
11472,S11472,dustin lopez phd,2011-11-30,Grade 2,+13658595972,2
2989,S02989,michelle avery,2015-06-08,Grade 3,+19068047753,3
2352,S02352,john krause,2013-08-29,Grade 2,+13903253663,3
1906,S01906,anne patterson,2014-02-11,Grade 2,+15687830545,3
2161,S02161,catherine perez,2015-10-04,Grade 2,+18967585520,3
2246,S02246,julie parker,2014-08-26,Grade 2,+18346596356,3
802,S00802,melissa holmes,2006-08-31,Grade 2,+12694070625,3
656,S00656,stephanie gilbert,2012-12-21,Grade 5,+16799640434,3
1048,S01048,joseph cross,2015-04-04,Grade 5,+12487380629,3
1126,S01126,parker gross,2010-08-08,Grade 1,+16384575793,3
528,S00528,samantha beard,2011-01-07,Grade 5,+19059525138,3
198,S00198,haley young,2013-04-23,Grade 5,+17045181533,3
5347,S05347,craig blanchard,2011-05-28,Grade 4,+14109681701,3
5163,S05163,dan conner,2017-03-27,Grade 3,+13248897860,3
5176,S05176,paul christensen,2006-09-29,Grade 2,+16659738729,3
5212,S05212,sandra campbell,2012-06-22,Grade 4,+12555917357,3
5251,S05251,joshua fisher,2006-04-14,Grade 2,+13939717139,3
4972,S04972,misty gaines,2016-04-03,Grade 2,+15295448276,3
4339,S04339,christopher ramirez,2008-04-29,Grade 1,+18443321292,3
4409,S04409,thomas anthony,2018-11-11,Grade 4,+18102434534,3
4221,S04221,william clark,2012-11-15,Grade 5,+17226963493,3
4095,S04095,james hubbard iii,2009-03-26,Grade 3,+12913653972,3
3903,S03903,bailey campbell,2006-05-01,Grade 1,+16732966507,3
3909,S03909,timothy benson,2018-08-12,Grade 4,+16239780830,3
3649,S03649,jay yang,2008-06-22,Grade 3,+13815498800,3
3188,S03188,adam williams,2015-12-15,Grade 1,+16406271589,3
3284,S03284,michelle wright,2018-11-30,Grade 4,+12367370709,3
6049,S06049,william anderson,2008-07-23,Grade 2,+13862606493,3
6052,S06052,andrew castro,2012-05-30,Grade 1,n/a,3
6121,S06121,tracy arroyo,2007-04-29,Grade 3,+13094367210,3
7368,S07368,joseph wilkins,2013-03-01,Grade 1,+18085375780,3
8446,S08446,tanya miller,2008-10-02,Grade 3,+17735189162,3
8560,S08560,amanda bush,2007-11-19,Grade 3,+17557733465,3
8572,S08572,steve williams,2011-12-03,Grade 1,+14409699023,3
8428,S08428,frances patrick,2014-03-11,Grade 3,+16177427111,3
9405,S09405,kelsey anderson,2007-11-21,Grade 1,+17666301898,3
9095,S09095,wanda morse,2011-12-05,Grade 4,n/a,3
8881,S08881,gerald gardner,2010-12-30,Grade 1,+12246474660,3
10655,S10655,donna robinson,2010-09-07,Grade 3,+16828133579,3
10687,S10687,andrew cross,2008-12-29,Grade 4,+17435649179,3
10798,S10798,allison gill,2015-09-12,Grade 4,+17325201127,3
10273,S10273,joshua ross,2014-01-27,Grade 5,+16972920178,3
10293,S10293,austin davis,2013-08-09,Grade 2,+15924076002,3
10526,S10526,richard hurley,2006-04-07,Grade 3,+15298957984,3
10557,S10557,kathy west,2011-01-12,Grade 1,+19594069685,3
9986,S09986,angela kelley,2010-11-30,Grade 5,+19605893879,3
9589,S09589,judy carlson,2015-07-24,Grade 1,+12729473777,3
9655,S09655,brianna arnold dvm,2007-07-22,Grade 5,n/a,3
9661,S09661,timothy turner,2011-01-24,Grade 2,+16535810994,3
9726,S09726,julie wilson,2012-11-16,Grade 1,+18288640288,3
11833,S11833,jason barnes,2011-10-19,Grade 2,+15182515927,3
773,S00773,michael leach,2018-04-06,Grade 3,+17935746185,4
2073,S02073,clinton douglas,2012-06-19,Grade 2,+13698464565,4
4213,S04213,david glover,2014-12-11,Grade 2,+18765559980,4
4622,S04622,richard wiggins,2015-12-25,Grade 4,+19834574992,4
7859,S07859,katie manning,2007-02-22,Grade 2,n/a,4
557,S00557,elizabeth stafford,2014-10-23,Grade 5,+16547974661,5
101,S00101,william mitchell,2008-11-06,Grade 5,+17499237131,6
570,S00570,jennifer hernandez,2014-04-13,Grade 3,+17903006682,6
1064,S01064,juan briggs,2019-01-03,Grade 3,+16463447144,6
938,S00938,robert bridges,2011-02-20,Grade 4,+15646271892,6
2126,S02126,jordan davis,2007-05-11,Grade 3,+15975958862,6
1805,S01805,jacqueline hess,2010-10-13,Grade 4,+13135607662,6
1204,S01204,sherry martinez,2012-10-29,Grade 5,+15592567287,6
1169,S01169,chris hubbard,2008-05-11,Grade 5,+14774894292,6
2314,S02314,nicholas mccullough,2007-06-23,Grade 1,+18546246595,6
2436,S02436,christina reyes,2012-10-17,Grade 1,+14697286723,6
2740,S02740,melanie johnson,2008-01-01,Grade 1,+17429325811,6
